time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-27T08:00:54.220Z,33.5745,-115.9008333,7.58,1.19,ml,32,70,0.0936,0.31,ci,ci37336815,2016-04-27T08:05:47.968Z,"6km NNE of North Shore, CA",earthquake,0.55,1.03,0.129,28,automatic,ci,ci
2016-04-27T08:00:53.000Z,61.25,-150.6588,34.5,1.9,ml,,,,0.83,ak,ak13499803,2016-04-27T09:00:16.872Z,"40km W of Anchorage, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-04-27T07:32:52.780Z,41.9697,-119.6387,29.7,2.5,ml,13,84.11,0.919,,nn,nn00542030,2016-04-27T07:36:09.148Z,"63km ESE of Lakeview, Oregon",earthquake,,,,,automatic,nn,nn
2016-04-27T07:08:24.240Z,38.8163338,-122.8193359,2.36,1.22,md,18,71,0.0101,0.03,nc,nc72627860,2016-04-27T09:07:03.138Z,"6km NW of The Geysers, California",earthquake,0.25,0.44,0.13,6,automatic,nc,nc
2016-04-27T06:27:51.000Z,61.7126,-149.9087,39.3,1.6,ml,,,,0.59,ak,ak13499801,2016-04-27T07:27:19.371Z,"7km ESE of Willow, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-04-27T05:35:19.000Z,60.3226,-141.6566,6,1.6,ml,,,,0.24,ak,ak13499799,2016-04-27T06:42:07.309Z,"51km NE of Cape Yakataga, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-04-27T05:26:24.970Z,38.8294983,-122.7956696,1.15,1.83,md,27,44,0.009822,0.03,nc,nc72627795,2016-04-27T07:48:02.958Z,"6km W of Cobb, California",earthquake,0.16,0.27,0.1,9,automatic,nc,nc
2016-04-27T05:25:38.580Z,38.8300018,-122.7971649,0.92,2.26,md,33,58,0.009943,0.04,nc,nc72627790,2016-04-27T07:22:01.902Z,"6km W of Cobb, California",earthquake,0.14,0.29,0.16,18,automatic,nc,nc
2016-04-27T05:19:57.100Z,19.5471,-68.0036,56,3,Md,8,234,1.14535199,0.25,pr,pr16118003,2016-04-27T07:53:53.538Z,"114km NNE of Punta Cana, Dominican Republic",earthquake,3.4,8.3,0,5,reviewed,pr,pr
2016-04-27T05:13:34.000Z,64.3751,-147.2932,0.8,1.6,ml,,,,0.56,ak,ak13499796,2016-04-27T05:57:00.625Z,"25km SW of Salcha, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-04-27T05:09:43.060Z,38.8416672,-122.8756638,1.96,1.04,md,12,86,0.005747,0.02,nc,nc72627780,2016-04-27T06:40:02.814Z,"12km ENE of Cloverdale, California",earthquake,0.3,0.53,0.08,4,automatic,nc,nc
2016-04-27T04:47:11.000Z,60.7679,-142.8446,19.5,2.4,ml,,,,0.8,ak,ak13499519,2016-04-27T05:57:02.451Z,"81km NNW of Cape Yakataga, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-04-27T04:38:22.000Z,63.5265,-147.2962,0,1.7,ml,,,,0.63,ak,ak13499516,2016-04-27T05:57:01.740Z,"83km E of Cantwell, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-04-27T04:21:07.070Z,33.955,-116.7543333,13.26,1.02,ml,36,65,0.09145,0.22,ci,ci37336791,2016-04-27T04:25:55.318Z,"5km NE of Cabazon, CA",earthquake,0.3,0.8,0.136,26,automatic,ci,ci
2016-04-27T04:09:44.260Z,33.2513333,-116.3865,10.03,2.22,ml,89,27,0.03071,0.18,ci,ci37336783,2016-04-27T13:48:31.832Z,"1km WSW of Borrego Springs, CA",earthquake,0.12,0.32,0.149,98,reviewed,ci,ci
2016-04-27T04:01:54.000Z,60.5702,-147.5968,21,1.7,ml,,,,0.67,ak,ak13499512,2016-04-27T05:08:45.064Z,"63km ESE of Whittier, Alaska",earthquake,0.9,0.4,,,automatic,ak,ak
2016-04-27T03:50:28.200Z,18.736,-65.5879,55,2.3,Md,5,266.4,0.51563297,0.1,pr,pr16118002,2016-04-27T07:52:33.677Z,"42km NNE of Luquillo, Puerto Rico",earthquake,2.2,2.8,0,4,reviewed,pr,pr
2016-04-27T03:46:24.000Z,61.641,-146.0138,25.3,1.7,ml,,,,0.76,ak,ak13499510,2016-04-27T04:18:35.960Z,"57km SSW of Glennallen, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-04-27T03:44:11.220Z,38.6363,-118.8311,0,1.3,ml,10,146.9,0.241,,nn,nn00542024,2016-04-27T03:45:53.451Z,"21km NW of Hawthorne, Nevada",earthquake,,,0.08,7,automatic,nn,nn
2016-04-27T03:37:18.000Z,63.0499,-151.4438,0,1.5,ml,,,,0.71,ak,ak13499506,2016-04-27T04:18:37.909Z,"105km NW of Talkeetna, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-04-27T03:36:44.120Z,46.2776667,-111.1521667,4.78,2.78,ml,38,86,0.134,0.24,mb,mb80140759,2016-04-27T04:40:32.901Z,"28km E of Townsend, Montana",earthquake,0.47,0.79,0.134,20,reviewed,mb,mb
2016-04-27T03:00:15.000Z,61.9724,-151.7963,102.1,2.1,ml,,,,0.48,ak,ak13499500,2016-04-27T04:18:37.057Z,"95km WNW of Willow, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-04-27T02:34:15.000Z,64.0194,-147.3034,58.2,1.4,ml,,,,0.99,ak,ak13499231,2016-04-27T03:38:08.589Z,"59km SSW of Salcha, Alaska",earthquake,1,1.7,,,automatic,ak,ak
2016-04-27T02:28:53.860Z,10.608,-86.9865,10,4.5,mb,,135,2.025,1.08,us,us10005bup,2016-04-27T02:49:13.857Z,"140km SSW of Masachapa, Nicaragua",earthquake,7.7,1.9,0.055,96,reviewed,us,us
2016-04-27T02:25:17.000Z,18.2017,-67.3032,18,2.8,Md,18,180,0.20840915,0.27,pr,pr16118000,2016-04-27T03:10:38.716Z,"14km SSW of Stella, Puerto Rico",earthquake,0.9,0.9,0,13,reviewed,pr,pr
2016-04-27T02:21:08.000Z,64.361,-147.2968,0,1.6,ml,,,,0.65,ak,ak13499228,2016-04-27T03:37:49.207Z,"26km SW of Salcha, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-04-27T02:16:52.330Z,-31.6238,-67.6428,20.4,5,mb,,34,0.892,0.94,us,us10005buk,2016-04-27T02:47:28.579Z,"60km E of Caucete, Argentina",earthquake,5.6,5,0.045,155,reviewed,us,us
2016-04-27T02:09:11.940Z,38.8180008,-122.762001,1.74,1,md,13,79,0.0139,0.03,nc,nc72627750,2016-04-27T02:26:02.190Z,"3km W of Cobb, California",earthquake,0.29,0.48,0.07,4,automatic,nc,nc
2016-04-27T02:04:03.820Z,-52.6232,25.8758,10,5.6,mb,,40,17.913,0.72,us,us10005bug,2016-04-27T02:21:04.636Z,"South of Africa",earthquake,11,1.9,0.068,76,reviewed,us,us
2016-04-27T00:48:47.730Z,33.7643333,-117.4543333,0.44,1,ml,20,68,0.01914,0.23,ci,ci37336767,2016-04-27T00:53:56.257Z,"14km SSE of Home Gardens, CA",earthquake,0.4,31.61,0.234,19,automatic,ci,ci
2016-04-27T00:43:54.840Z,19.3768333,-155.2315,2.975,1.83,ml,19,96,0.009192,0.07,hv,hv61242701,2016-04-27T01:31:13.450Z,"6km S of Volcano, Hawaii",earthquake,0.25,0.17,0.091,7,reviewed,hv,hv
2016-04-27T00:33:23.650Z,39.8812,-118.3842,10.7,1.2,ml,14,219.18,0.572,,nn,nn00542016,2016-04-27T00:35:13.116Z,"33km SSE of Lovelock, Nevada",earthquake,,,,,automatic,nn,nn
2016-04-27T00:26:58.520Z,34.5648,81.1196,32.79,4.2,mb,,133,6.576,0.89,us,us10005btm,2016-04-27T01:40:39.895Z,"186km NE of Rutog, China",earthquake,9.9,5.7,0.152,12,reviewed,us,us
2016-04-27T00:19:08.180Z,38.8726654,-122.8213348,1.27,1.31,md,18,158,0.009679,0.05,nc,nc72627710,2016-04-27T04:02:02.388Z,"10km WNW of Cobb, California",earthquake,0.39,0.32,0.13,6,automatic,nc,nc
2016-04-27T00:09:09.220Z,38.8063316,-122.7528305,0.57,1.02,md,9,193,0.01578,0.01,nc,nc72627705,2016-04-27T00:36:03.561Z,"3km SW of Cobb, California",earthquake,0.37,0.54,0.18,3,automatic,nc,nc
